question_number,answer,question_type,question_id,is_new,learning_outcome,bloom_level
q01,e,mc,30634f99,0,LO2_atomic_structure,understand
q02,b,mc,8a7b59ba,0,LO1_hierarchy,remember
q03,e,mc,973dcb6a,0,LO10_nucleic_acids,remember
q04,e,mc,af249eb5,0,LO4_water_properties,understand
q05,b,mc,6328bfe6,0,LO2_atomic_structure,apply
q06,c,mc,916ebcf5,0,LO2_atomic_structure,remember
q07,c,mc,f0524639,0,LO8_proteins,understand
q08,c,mc,55dfdb4e,0,LO11_synthesis,remember
q09,c,mc,7c040aba,0,LO1_hierarchy,remember
q10,a,mc,7e9cd6c3,0,LO3_chemical_bonds,remember
q11,a,mc,8f7e0308,0,LO10_nucleic_acids,remember
q12,b,mc,ed53eab6,0,LO3_chemical_bonds,understand
q13,a,mc,cf303bbf,0,LO4_water_properties,understand
q14,e,mc,d4a68f40,0,LO4_water_properties,understand
q15,c,mc,787b7cd5,0,LO5_pH_buffers,apply
q16,a,mc,495b85f1,0,LO15_cytoskeleton,remember
q17,c,mc,f57eaac1,0,LO15_cytoskeleton,remember
q18,b,mc,fc425cb9,0,LO19_junctions_ECM,remember
q19,d,mc,534baeb5,0,LO13_cell_structure,understand
q20,e,mc,7551a991,0,LO17_diffusion_osmosis,remember
q21,b,mc,ca1dd959,0,LO14_organelles,understand
q22,b,mc,df914547,0,LO14_organelles,understand
q23,a,mc,0aa13b8d,0,LO14_organelles,remember
q24,d,mc,192b0579,0,LO14_organelles,understand
q25,e,mc,7067b45b,0,LO17_diffusion_osmosis,apply
q26,d,mc,af90ca9f,0,LO13_cell_structure,remember
q27,c,mc,794d4ecb,0,LO15_cytoskeleton,remember
q28,e,mc,5b7277ee,0,LO14_organelles,remember
q29,d,mc,490328b2,0,LO21_enzymes,remember
q30,b,mc,c02d7695,0,LO28_calvin_cycle,understand
q31,e,mc,c772197e,0,LO23_glycolysis,understand
q32,b,mc,ea4b7445,0,LO22_thermodynamics,understand
q33,c,mc,a021d58d,0,LO22_thermodynamics,understand
q34,c,mc,715ac5b5,0,LO21_enzymes,understand
q35,c,mc,4bb005f0,0,LO21_enzymes,understand
q36,c,mc,0842da60,0,LO28_calvin_cycle,remember
q37,a,mc,36f52716,0,LO27_light_reactions,understand
q38,a,mc,4e2ca59f,0,LO23_glycolysis,remember
q39,b,mc,fc14ecf7,0,LO22_thermodynamics,understand
q40,c,mc,02145741,0,LO25_electron_transport,understand
q41,c,mc,3fe268bf,0,LO29_c3c4cam,understand
q42,c,mc,48b9b104,0,LO21_enzymes,understand
